schema_version,session_code,data_origin,sequence,elapsed_ms,simulated_timestamp_utc,scenario,infrared,contact_detected,movement_index,quality,bpm,spo2,gsr
1,BP-001,simulated,0,0,2026-08-30T12:00:00.000Z,noContact,1340,false,0.02,unavailable,,,
1,BP-001,simulated,1,1000,2026-08-30T12:00:01.000Z,stableContact,8324,true,0.03,good,,,
1,BP-001,simulated,2,2000,2026-08-30T12:00:02.000Z,movement,9007,true,0.14,affected,,,
1,BP-001,simulated,3,3000,2026-08-30T12:00:03.000Z,transientFailure,,false,,unavailable,,,
1,BP-001,simulated,4,4000,2026-08-30T12:00:04.000Z,noContact,1475,false,0.02,unavailable,,,
1,BP-001,simulated,5,5000,2026-08-30T12:00:05.000Z,stableContact,8258,true,0.03,good,,,
1,BP-001,simulated,6,6000,2026-08-30T12:00:06.000Z,movement,9142,true,0.14,affected,,,
1,BP-001,simulated,7,7000,2026-08-30T12:00:07.000Z,transientFailure,,false,,unavailable,,,
1,BP-001,simulated,8,8000,2026-08-30T12:00:08.000Z,noContact,1409,false,0.02,unavailable,,,
1,BP-001,simulated,9,9000,2026-08-30T12:00:09.000Z,stableContact,8393,true,0.03,good,,,
1,BP-001,simulated,10,10000,2026-08-30T12:00:10.000Z,movement,9076,true,0.14,affected,,,
1,BP-001,simulated,11,11000,2026-08-30T12:00:11.000Z,transientFailure,,false,,unavailable,,,
1,BP-001,simulated,12,12000,2026-08-30T12:00:12.000Z,noContact,1343,false,0.02,unavailable,,,
1,BP-001,simulated,13,13000,2026-08-30T12:00:13.000Z,stableContact,8327,true,0.03,good,,,
1,BP-001,simulated,14,14000,2026-08-30T12:00:14.000Z,movement,9010,true,0.14,affected,,,
1,BP-001,simulated,15,15000,2026-08-30T12:00:15.000Z,transientFailure,,false,,unavailable,,,
1,BP-001,simulated,16,16000,2026-08-30T12:00:16.000Z,noContact,1478,false,0.02,unavailable,,,
1,BP-001,simulated,17,17000,2026-08-30T12:00:17.000Z,stableContact,8261,true,0.03,good,,,
1,BP-001,simulated,18,18000,2026-08-30T12:00:18.000Z,movement,9145,true,0.14,affected,,,
1,BP-001,simulated,19,19000,2026-08-30T12:00:19.000Z,transientFailure,,false,,unavailable,,,
1,BP-001,simulated,20,20000,2026-08-30T12:00:20.000Z,noContact,1412,false,0.02,unavailable,,,
1,BP-001,simulated,21,21000,2026-08-30T12:00:21.000Z,stableContact,8396,true,0.03,good,,,
1,BP-001,simulated,22,22000,2026-08-30T12:00:22.000Z,movement,9079,true,0.14,affected,,,
1,BP-001,simulated,23,23000,2026-08-30T12:00:23.000Z,transientFailure,,false,,unavailable,,,
1,BP-001,simulated,24,24000,2026-08-30T12:00:24.000Z,noContact,1346,false,0.02,unavailable,,,
1,BP-001,simulated,25,25000,2026-08-30T12:00:25.000Z,stableContact,8330,true,0.03,good,,,
1,BP-001,simulated,26,26000,2026-08-30T12:00:26.000Z,movement,9013,true,0.14,affected,,,
1,BP-001,simulated,27,27000,2026-08-30T12:00:27.000Z,transientFailure,,false,,unavailable,,,
1,BP-001,simulated,28,28000,2026-08-30T12:00:28.000Z,noContact,1481,false,0.02,unavailable,,,
1,BP-001,simulated,29,29000,2026-08-30T12:00:29.000Z,stableContact,8264,true,0.03,good,,,
